Index,Quantity,Digikey Part Number,Manufacturer Part Number,Description,Unit Price (CAD),Total Price (CAD),Link,
1,1,1528-2181-ND,3405,HUZZAH32 ESP32 FEATHER BOARD,27.45,27.45,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/3405/7244967,
2,1,1528-1658-ND,2895,ADAFRUIT NON-LATCHING MINI RELAY,10.94,10.94,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/2895/5979891,
3,1,1528-1560-ND,2886,FEATHER HEADER KIT FML,1.31,1.31,https://www.digikey.ca/product-detail/en/adafruit-industries-llc/2886/1528-1560-ND/ ,
4,1,1528-1858-ND,2750,BATTERY LITHIUM 3.7V 350MAH (Optional),12.99,12.99,https://elmwoodelectronics.ca/products/lithium-ion-polymer-battery-3-7v-350mah or https://www.digikey.com/en/products/detail/adafruit-industries-llc/2750/6612470,
5,1,SC1455-ND,35PM1,CONN JACK MONO 3.5MM PNL MNT,4.38,4.38,https://www.digikey.ca/en/products/detail/switchcraft-inc/35PM1/1288859 ,
6,1,"	81044/12-24-6-DS-ND","	81044/12-24-6",81044/12-24-6 FEET HOOK-UP WIRE,0.98,0.98,"https://www.digikey.ca/en/products/detail/te-connectivity-aerospace,-defense-and-marine/81044%2F12-24-6/6071077",
7,2,36-4687-ND,4687,"HEX NUT 0.197"" NYLON M2.5",0.23,0.46,https://www.digikey.ca/en/products/detail/keystone-electronics/4687/4499296,
8,2,36-29334-ND,29334,MACH SCREW PAN SLOTTED M2.5X0.45,0.34,0.68,https://www.digikey.ca/en/products/detail/keystone-electronics/29334/1532988,
9,1,,Echo Dot,ECHO DOT OR OTHER ALEXA ENABLED DEVICE,55,54.99,https://www.amazon.ca/Echo-Dot-3rd-gen-Charcoal/dp/B07PDHT5XP/,
,,,,,,,,
,,,,,Total,114.18,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
